Gene_ID,k562_0h_A,k562_0h_B,k562_0h_C,k562_2h_A,k562_2h_B,k562_2h_C,k562_4h_A,k562_4h_B,k562_4h_C,k562_6h_A,k562_6h_B,k562_6h_C
ENSG00000002586,23.9520103636,19.7221677634,51.6731887327,40.7725446255,41.3780041035,30.8636596784,41.4903526839,27.5450423559,32.641728248,36.3909909944,30.3465537246,50.4382254559
ENSG00000002587,0,0,0,0,0,0.0262446085701,0,0,0,0.0831603998957,0,0
ENSG00000002726,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002745,0,0,0,0.0204066789918,0.0322007814035,0,0,0,0,0,0,0
ENSG00000002746,0.0764425862667,0.0233952168011,0,0.0204066789918,0,0.0524892171401,0.0252835787227,0.0267168209078,0,0.0332641599583,0.0170390531862,0
ENSG00000002822,57.0771310792,44.1701693205,17.410404843,11.9175005312,15.3275719481,14.2770670621,13.85540114,12.8240740357,8.70999101917,7.98339838999,7.15640233819,17.0042309054
ENSG00000002834,266.682702623,232.150736318,340.786353769,291.672662829,352.952764964,330.708312591,370.176876079,307.537325469,404.475392471,409.199063727,378.301058839,460.148275515
ENSG00000002919,26.8568286417,25.7347384812,17.6615164513,20.3250522758,22.3795430754,20.4707946846,27.4073993354,25.6481480715,25.4663546941,20.9397886937,25.0474081837,42.0739821457
ENSG00000002933,0.356732069245,0.280742601614,0,0,0.128803125614,0.10497843428,0.101134314891,0.106867283631,0.0829522954207,0,0.0681562127446,0.0689360712382
ENSG00000003056,40.13235779,39.5379163939,63.4196317437,55.8326737214,58.0580088705,56.6358652942,48.139933888,53.0596063228,69.0785240116,69.8547359124,57.3193749182,72.8194699179
ENSG00000003096,2.85385655396,2.29273124651,5.52445538287,6.20363041349,4.31490470807,2.04707946846,4.09593975308,4.59529319614,5.51632764547,5.93765255256,4.53238814752,11.2595583022
ENSG00000003137,0.0509617241778,0,0,0,0,0,0,0,0,0.0498962399374,0,0
ENSG00000003147,19.3654551876,13.2182974926,16.4338596995,14.3254886522,15.0699656968,16.3503911391,16.7124455357,11.6218170949,8.37818183749,7.70065303035,8.77511239087,13.5344486531
ENSG00000003249,1.3759665528,1.26334170726,0.0837038694374,0.673420406728,0.676216409473,0.236201477131,0.151701472336,0.0801504627233,0.373285329393,0.249481199687,0.306702957351,0.551488569905
ENSG00000003393,2.90481827814,2.76063558253,4.46420636999,3.55076214457,4.31490470807,4.77651875975,5.05671574454,4.78231094249,6.38732674739,9.62997430793,8.75807333769,8.47913676229
ENSG00000003400,25.6082663994,28.822907099,38.1410631736,35.1607079028,37.9647212747,40.3117187636,31.3263540374,31.873167343,34.8192260028,31.2683103608,35.4753087336,30.0791057503
ENSG00000003402,28.2073143324,32.8000939552,34.7371058165,27.263323133,36.7732923628,31.7822209783,32.4893986587,38.0180361518,28.1208281476,17.8961180576,28.2507501827,26.6782595692
ENSG00000003436,8.35772276516,7.06535547394,14.0064474859,14.6724021951,15.3919735109,13.2272827193,14.5633413443,18.1941550382,17.5444104815,29.0229795636,22.0485348229,29.3667663475
ENSG00000003509,16.1803474265,15.7449809072,20.088928665,22.0800266691,21.8321297916,22.8852986731,22.6540865355,20.6521025617,23.1436904224,30.4533384418,25.899360843,20.8186935139
ENSG00000003756,19.1616082909,18.9501256089,30.4403071854,25.8756689615,25.3742157459,27.3731267386,31.730891297,25.3809798624,34.1763457133,44.673766824,46.8062791024,46.5548267762
ENSG00000003987,0,0,0.0279012898125,0,0,0,0.0252835787227,0,0,0.0166320799791,0,0
ENSG00000003989,0,0,0,0,0.128803125614,0,0,0,0,0.133056639833,0,0.0919147616509
ENSG00000004059,156.809225295,149.869758828,89.4794364285,77.4229400947,174.689239114,90.0714966125,126.08920709,161.690200134,63.9354816955,54.4201656918,43.6029371034,100.577727936
ENSG00000004139,0.0254808620889,0.116976084006,0.167407738875,0.0204066789918,0.193204688421,0.10497843428,0.0505671574454,0.0534336418155,0.0414761477103,0.0665283199166,0,0.0459573808254
ENSG00000004142,28.8698167467,27.8169127765,21.4839931556,19.2843116472,18.6120516512,21.4418452017,16.0803560676,12.2897376176,19.5767417193,15.8337401401,20.3105513979,20.3591197057
ENSG00000004399,3.82212931334,2.85421644974,1.72987996837,0.857080517654,2.18965313544,1.12851816851,2.12382061271,2.51138116533,0.705094511076,1.16424559854,0.783796446563,1.58552963848
ENSG00000004455,336.55122647,339.768733603,331.662632001,345.934022268,330.766426577,336.79706178,296.702796311,294.178915015,338.341674947,273.298338217,287.312514825,301.595311667
ENSG00000004468,0.0509617241778,0.0233952168011,0.0558025796249,0.081626715967,0.0966023442104,0.0787338257102,0.0252835787227,0.0534336418155,0.103690369276,0.0831603998957,0.0851952659308,0.160850832889
ENSG00000004478,34.2972403717,37.0814186298,13.8948423266,14.5703688001,14.2649461617,16.5341033991,13.1474609358,8.89670136229,16.9430063397,14.4366454219,15.9826318886,28.2867678981
ENSG00000004487,10.9312898361,12.5632314222,17.2429971041,19.0394314993,19.3204688421,17.4789093077,25.6375488248,31.0182290739,27.6231143751,37.6217649128,39.7691501365,23.2314560073
ENSG00000004534,40.5655324455,33.174417424,39.7314366929,31.7323858322,45.7251095929,47.6339645547,39.7457857521,46.1399497077,42.8241225109,46.4035031418,51.9520731646,40.2356869127
ENSG00000004660,3.61828241663,2.85421644974,5.46865280324,4.32621594625,3.92849533122,4.35660502263,4.85444711476,5.61053239063,4.27204321416,3.89190671512,3.54412306272,2.0680821371500002
ENSG00000004700,3.13414603694,2.87761166654,4.9385282968,5.40776993282,4.34710548947,5.66883545113,4.47519343392,4.70216047977,4.72828083898,7.0187377512,5.48657512594,7.03147926629
ENSG00000004766,17.9894886348,18.2014786713,37.7783464061,31.7323858322,30.5585415519,31.4935302841,32.5399658161,38.2050538981,39.7756256542,59.4596859255,46.4314199323,47.8416334393
ENSG00000004776,0,0,0,0,0,0.0262446085701,0,0,0,0.0332641599583,0.0170390531862,0.0919147616509
ENSG00000004777,2.85385655396,3.08816861775,3.40395735712,1.08155398656,1.22362969333,2.96564076842,1.36531325103,1.3625578663,1.74199820383,2.26196287716,1.82317869092,2.18297558921
ENSG00000004779,532.702902831,549.83438526,643.041026308,706.091499794,579.163254323,711.701295203,675.501372734,632.681035917,751.029344665,1010.93108529,897.106150251,632.005901112
ENSG00000004799,0.101923448356,0,0,0,0.0322007814035,0,0,0.0267168209078,0.0414761477103,0.0498962399374,0,0
ENSG00000004809,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004838,2.59904793307,3.13495905135,1.339261911,0.938707233621,1.09482656772,0.892316691382,1.06191030635,1.3892746872,0.290333033972,0.266113279666,0.408937276468,1.19489190146
ENSG00000004846,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004848,0.0509617241778,0.0701856504034,0.195309028687,0.142846752942,0.386409376842,0.10497843428,0.0758507361681,0.267168209078,0.103690369276,0.3991699195,0.0681562127446,0.275744284953
ENSG00000004864,22.8563332938,26.6939423701,26.7573369301,23.7329676674,22.3151415126,28.6853571671,25.0560265142,23.2169173689,28.1208281476,41.2142941883,35.9864803292,67.258626838
ENSG00000004866,182.137202212,182.10836758,161.157849957,178.905354721,160.231088264,188.882447879,202.749017777,178.94926644,213.12518501,261.057127353,263.134098354,492.226527331
ENSG00000004897,42.119865033,42.9302228301,57.6719660423,56.1591805853,62.2441104529,58.5517217198,64.4984093216,74.6735144372,62.4838165256,95.73425236,71.121007999,90.2602959412
ENSG00000004939,12.1034094922,10.3874762597,12.3602713869,9.81561259503,8.50100629052,10.0516850823,7.61035719553,7.72116124235,8.2330153205,8.28277582962,7.82092541245,11.6731747297
ENSG00000004948,0.152885172533,0.140371300807,0.11160515925,0.122440073951,0.064401562807,0.314935302841,0.101134314891,0,0.0829522954207,0,0.0681562127446,0.0919147616509
ENSG00000004961,62.9122484975,61.1317015014,77.6492895481,87.3813994427,88.0369363571,85.6624023727,108.062015461,115.790701814,100.081944425,113.497313778,100.854155809,69.3956450464
ENSG00000004975,15.7216919089,14.9027531023,15.4015119765,10.8155398656,15.6817805435,13.673441065,12.768207255,15.8697916192,8.39891991134,5.4220580732,7.22455855093,11.6272173488
ENSG00000005001,0,0.0467904336023,0,0.0408133579835,0.064401562807,0.0524892171401,0.101134314891,0,0,0.266113279666,0.0340781063723,0.0459573808254
ENSG00000005007,68.8492893642,64.8983314063,56.081592523,51.7921512811,73.5465847256,60.0476644083,73.2212439809,84.4785877104,61.716507793,50.1290890572,64.1690742991,70.2228779013
ENSG00000005020,3.87309103751,5.98917550109,4.32469992093,5.2037031429,5.50633362,4.33036041406,5.33483511049,4.27469134524,5.37116112849,6.46987911189,6.84969938084,7.9506268828
ENSG00000005022,97.2859314555,79.5203419071,251.948647006,252.042892227,271.838996608,204.865414498,275.944978179,281.675442831,294.563601039,367.402646739,281.399963369,258.257501549
ENSG00000005059,2.01298810502,2.45649776412,2.92963543031,3.26506863868,3.09127501473,3.01812998556,3.53970102118,2.7518325535,4.04392440176,6.12060543233,5.35026270045,4.61871677296
ENSG00000005073,0,0,0,0,0,0,0.0505671574454,0,0,0,0,0
ENSG00000005075,75.499794369400007,67.0740865689,34.067474861,30.8140852776,33.521013441,29.8401199442,33.5765925437,25.487847146,20.6551215597,16.3659666995,19.3563644195,40.4654738168
ENSG00000005100,29.1246253676,28.121050595,37.7225438264,35.2219279398,35.6140642323,34.7741063553,37.8495173479,38.7928239581,39.3193880294,40.8982846687,38.0482057647,36.3752669233
ENSG00000005102,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005108,0,0,0.11160515925,0.285693505885,0,0.15746765142,0.0505671574454,0.0534336418155,0,0,0.0340781063723,0
ENSG00000005156,5.09617241778,4.1877438074,9.04001789924,7.04030425216,8.53320707192,8.63447621955,7.78734224659,7.98832945142,8.25375339436,10.2120971072,8.1276283698,7.62892521702
ENSG00000005175,28.7678932984,28.121050595,55.6630731758,60.2201097047,59.9900557547,55.0086995628,62.905543862,66.631751344,78.0788480647,153.098296208,113.565289486,97.9581572294
ENSG00000005187,9.60628500752,9.82599105648,13.9227436164,11.9991272472,10.3042500491,12.3087214194,10.8719388508,9.03028546683,12.5257966085,13.7713622227,11.4672827943,11.0067927077
ENSG00000005189,18.7284336353,20.9621142538,17.103490655,17.304863785,10.0144430165,15.0644053192,11.9085655784,14.1064814393,13.6663906706,11.6258239054,17.5672638349,11.3974304447
ENSG00000005194,106.433560945,99.1021383696,90.2048699637,91.2382617721,77.410678494,89.914028961,74.2073035511,60.4334488934,100.662610493,80.8319086987,109.237369976,128.221092503
ENSG00000005206,12.4601415615,9.66222453887,4.88272571718,3.40791539162,3.18787735894,3.62175598267,4.57632774881,2.72511573259,1.47240324372,1.26403807842,1.26088993578,3.21701665778
ENSG00000005238,8.91830173112,5.89559463389,25.7807917867,14.856062306,23.6675743316,20.5757731189,17.8754901569,31.2319636412,14.6618182156,13.2723998234,11.9273372303,17.5327407849
ENSG00000005243,0,0.116976084006,0,0,0,0,0.37925368084,0,0.352547255538,0.0498962399374,0,0.137872142476
ENSG00000005249,19.4164169118,19.6753773298,36.1042690173,33.0792266456,31.8143720266,31.4672856755,29.8346228928,30.6441935812,35.7731774002,46.1373898622,39.2068613814,39.4773901291
ENSG00000005302,20.5120939816,27.8169127765,30.6077149243,31.0181520675,35.0022493856,30.9423935041,30.9471003566,28.0526619532,32.932061282,44.0417477848,36.9577063608,39.4544114386
ENSG00000005339,24.6145127779,23.76954027,35.1556251637,32.5894663498,33.0702025014,36.6374735638,43.9681433987,40.4759836753,46.9509992081,65.1644893583,56.4844613121,60.0892754293
ENSG00000005379,4.84136379689,3.64965382098,6.19408633837,2.81612170086,5.5385344014,5.14394327973,6.017491736,5.77083331608,3.15218722599,1.9958495975,2.14692070146,2.80340023035
ENSG00000005381,0,0.0233952168011,0.0279012898125,0,0,0.0262446085701,0.0252835787227,0,0.0207380738552,0.0498962399374,0.0170390531862,0
ENSG00000005421,0,0,0,0,0,0,0,0,0,0.0166320799791,0,0
ENSG00000005436,10.6255194911,10.6448236445,14.3970655432,14.3050819732,14.2327453803,12.6499013308,13.9818190336,13.2515431703,18.0213861801,23.6840818903,20.6002153021,17.0731669767
ENSG00000005448,4.76492121063,5.68503768268,2.20420189518,2.83652837985,1.54563750737,2.59821624844,2.65477576588,1.89689428445,2.57152115804,1.96258543754,2.76032661616,2.50467725499
ENSG00000005469,2.90481827814,2.0587790785,3.54346380618,3.28547531767,3.15567657754,2.78192850843,3.31214881267,3.15258486712,3.7950675155,5.13931271356,4.3108804561,6.08935295937
ENSG00000005471,0,0,0,0.0612200369753,0,0,0,0.0267168209078,0,0.0997924798749,0.0340781063723,0.0689360712382
